date,bus_uaz,bort_uaz,cmf_uaz,wa_sprice_lcv,wa_sprice_ldt,wa_sprice_total,gdp,cp_index,rt_turnover,volume_services,construction,industrial_production,agriculture,road_freight_turnover,passenger_turnover,business_index,exchange_rate,urals,key_rate
2026-01-01,,,,,,,,,,,,,,,,,,,
2026-02-01,,,,,,,,,,,,,,,,,,,
2026-03-01,,,,,,,,,,,,,,,,,,,
2026-04-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-06-01,,,,,,,,,,,,,,,,,,,
2026-07-01,,,,,,,,,,,,,,,,,,,
2026-08-01,,,,,,,,,,,,,,,,,,,
2026-09-01,,,,,,,,,,,,,,,,,,,
2026-10-01,,,,,,,,,,,,,,,,,,,
2026-11-01,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,
