target,model,feature,importance
applications,XGBoost,agriculture,0.07784558832645416
applications,XGBoost,road_freight_turnover,0.015830865129828453
applications,XGBoost,passenger_turnover,0.004341807682067156
applications,XGBoost,business_index,0.01659182831645012
applications,XGBoost,exchange_rate,0.16193832457065582
applications,XGBoost,urals,0.008819359354674816
applications,XGBoost,key_rate,0.06800290942192078
applications,XGBoost,time_idx,0.0026914675254374743
applications,XGBoost,month_sin,0.016160260885953903
applications,XGBoost,month_cos,0.023776676505804062
applications,XGBoost,lag_1,0.1730506718158722
applications,XGBoost,lag_2,0.021222751587629318
applications,XGBoost,lag_3,0.013640203513205051
applications,XGBoost,lag_6,0.004881181288510561
applications,XGBoost,lag_12,0.007796663790941238
applications,XGBoost,roll_mean_3,0.05970242992043495
applications,XGBoost,roll_mean_6,0.014065740630030632
applications,XGBoost,roll_mean_12,0.0
applications,XGBoost,roll_std_3,0.034696146845817566
applications,XGBoost,roll_std_6,0.05499478057026863
applications,XGBoost,roll_std_12,0.018079839646816254
