date,score,target
2025-01-01,2.2659472090105623,quantity
2022-04-01,2.1900733808503197,quantity
2020-01-01,1.4910740711561297,quantity
2020-04-01,1.7348805676836032,applications
2023-01-01,1.5791320934498134,applications
2022-02-01,1.553056875065005,applications
